state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Shan (South),MMR222,Taunggyi,Nyaungshwe,MMR014002,210440.28322149537,77442,20,0,0,0,4,5,0.02533893590026541,6,51357,128.2013467028146,0.06666666666666667,1,0,0,NA,1,165,9,34,256,0.005856848595581719,0.3679998848817825,B2
Shan (South),MMR222,Taunggyi,Kalaw,MMR014005,206747.15941177213,76083,100,1,3,4,16,5,0.04657356325853959,14,41992,127.74949869727759,0.06666666666666667,1,601,2,204,0,128,9,35,254,0.00575406900257798,0.3680002192845986,B2
Shan (South),MMR222,Taunggyi,Lawksawk,MMR014008,183022.9498121872,67352,20,2,0,0,3,0,0.00484129792733207,1,119856,32.01338931688777,0.06666666666666667,1,0,0,NA,1,269,9,52,256,0.005093753604111722,0.36799756571028197,B2
Shan (South),MMR222,Taunggyi,Pekon,MMR014010,115093.4703517542,48656,150,42,20,2,26,23,0.2474906431050068,186,43574,49.95869659285383,0.06666666666666667,1,3567,3,1257,0,14,9,99,253,0.003679796819124301,0.4227520453705601,A2
Tanintharyi,MMR006,Dawei,Dawei,MMR006001,156104.6855057658,37777,5667.399944364489,11,7,18,35,16,0.16991697493296165,53,17911,21.53612319640456,0,NA,50,1,50,0,30,10,133,118,0.002857030673217254,0.2419978610994651,A2
Tanintharyi,MMR006,Dawei,Launglon,MMR006002,125675.93475263125,30414,4561.96356877042,4,4,2,24,16,0.06742585153943077,32,41475,145.13695021354297,0.13333333333333333,2,0,0,NA,1,91,8,179,136,0.002300175527311051,0.24200337208443345,A2
Tanintharyi,MMR006,Dawei,Thayetchaung,MMR006003,112233.83467999121,27161,4073.911803025714,7,1,0,12,9,0.03806628360728946,30,27074,50.509487838818686,0.06666666666666667,1,4097,1,4097,0,139,9,203,145,0.002054154912122557,0.24200367097358208,B2
Tanintharyi,MMR006,Dawei,Yebyu,MMR006004,130260.37599431549,31675,4750.808359136868,1,5,2,14,7,0.04125937834629421,20,27332,30.27240444962558,0.06666666666666667,1,0,0,NA,1,134,9,168,131,0.002395543494034903,0.2431668092327807,B2
Tanintharyi,MMR006,Kawthoung,Kawthoung,MMR006009,148728.7911632599,35992,5399.144884661607,0,0,4,6,3,0.03028659184026264,11,5346,55.45075487476594,0.13333333333333333,2,184,1,184,0,153,8,142,121,0.002722033194547884,0.24199752931825758,B2
Tanintharyi,MMR006,Kawthoung,Bokpyin,MMR006010,86800.59531694955,21006,3151.1383960730022,NA,NA,NA,NA,NA,0,NA,11388,12.295223516943269,0,NA,0,0,NA,1,298,10,235,171,0.0015886594044418995,0.24200294852007956,B2
